donor, acceptor, , 
-2677.25, 81.71, , 
-656.30, 625.79, , 
1176.67, -148.54, , 
1327.00, -264.52, , 
391.29, -203.48, , 
-183.92, -929.93, , 
-395.87, -210.75, , 
-106.20, 303.68, , 
-1641.18, 1174.90, , 
268.65, 146.08, , 
-400.10, -668.10, , 
-299.83, -225.95, , 
149.45, 860.07, , 
883.45, -20.77, , 
-2510.42, 416.91, , 
1406.59, -197.98, , 
-1330.27, 692.36, , 
-888.90, -73.71, , 
438.18, -1075.06, , 
-529.74, -129.79, , 
21.50, -30.69, , 
-2529.59, 171.97, , 
411.81, 351.19, , 
1873.54, -228.19, , 
-316.88, -72.28, , 
-645.44, 1139.88, , 
102.51, -426.27, , 
-904.37, 133.94, , 
651.60, 534.73, , 
854.49, -302.18, , 
331.21, 79.40, , 
-1042.86, 4.17, , 
-1845.31, 236.47, , 
-77.03, 28.22, , 
-40.30, 214.12, , 
274.67, -442.91, , 
-720.35, -423.65, , 
172.30, 633.23, , 
-1443.57, 960.92, , 
755.43, -175.99, , 
546.89, -263.73, , 
2141.33, -66.14, , 
-407.17, -348.81, , 
171.12, -600.17, , 
375.03, 94.49, , 
-1837.91, -436.43, , 
765.89, -138.40, , 
-810.45, 155.50, , 
-693.82, -524.91, , 
719.87, 175.69, , 
-727.50, 39.05, , 
-335.49, -24.62, , 
-503.12, 294.40, , 
172.15, -663.53, , 
72.18, -455.37, , 
-1670.78, -544.31, , 
-631.28, 95.15, , 
